"","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
"Mazda RX4",3.09104245335832,1.94591014905531,5.08140436498446,4.70953020131233,1.58923520511658,1.28647402583768,2.85991255041146,0,0.693147180559945,1.6094379124341,1.6094379124341
"Mazda RX4 Wag",3.09104245335832,1.94591014905531,5.08140436498446,4.70953020131233,1.58923520511658,1.35454566280531,2.89148225218019,0,0.693147180559945,1.6094379124341,1.6094379124341
"Datsun 710",3.16968558067743,1.6094379124341,4.69134788222914,4.54329478227,1.57897870494939,1.1999647829284,2.97603964020825,0.693147180559945,0.693147180559945,1.6094379124341,0.693147180559945
"Hornet 4 Drive",3.10906095886099,1.94591014905531,5.55682806169954,4.70953020131233,1.40609698841607,1.43864959145382,3.0174937653355,0.693147180559945,0,1.38629436111989,0.693147180559945
"Hornet Sportabout",2.98061863574394,2.19722457733622,5.88887795833288,5.17048399503815,1.42310833424261,1.49065437644413,2.89148225218019,0,0,1.38629436111989,1.09861228866811
"Valiant",2.94968833505258,1.94591014905531,5.42053499927229,4.66343909411207,1.3244189574018,1.49514876603197,3.05494413318584,0.693147180559945,0,1.38629436111989,0.693147180559945
"Duster 360",2.72785282839839,2.19722457733622,5.88887795833288,5.50533153593236,1.43746264769429,1.51951320490611,2.82375700881418,0,0,1.38629436111989,1.6094379124341
"Merc 240D",3.23474917402449,1.6094379124341,4.99518318953733,4.14313472639153,1.54543258245819,1.43270073393405,3.04452243772342,0.693147180559945,0,1.6094379124341,1.09861228866811
"Merc 230",3.16968558067743,1.6094379124341,4.95441761409803,4.56434819146784,1.59330853050422,1.42310833424261,3.17387845893747,0.693147180559945,0,1.6094379124341,1.09861228866811
"Merc 280",3.00568260440716,1.94591014905531,5.12752904556775,4.82028156560504,1.59330853050422,1.49065437644413,2.96010509591084,0.693147180559945,0,1.6094379124341,1.6094379124341
