"","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
"Mazda RX4",0.451063829787234,0.5,0.221751060114742,0.204946996466431,0.525345622119816,0.283047813858348,0.233333333333333,0,1,0.5,0.428571428571429
"Mazda RX4 Wag",0.451063829787234,0.5,0.221751060114742,0.204946996466431,0.525345622119816,0.348248529787778,0.3,0,1,0.5,0.428571428571429
"Datsun 710",0.527659574468085,0,0.0920429034671988,0.144876325088339,0.502304147465438,0.20634108923549,0.489285714285714,1,1,0.5,0
"Hornet 4 Drive",0.468085106382979,0.5,0.466201047642804,0.204946996466431,0.147465437788019,0.435182817693684,0.588095238095238,1,0,0,0
"Hornet Sportabout",0.353191489361702,1,0.720628585682215,0.434628975265018,0.179723502304148,0.492712861160828,0.3,0,0,0,0.142857142857143
"Valiant",0.327659574468085,0.5,0.383886255924171,0.187279151943463,0,0.497826642802352,0.680952380952381,1,0,0,0
"Duster 360",0.165957446808511,1,0.720628585682215,0.681978798586572,0.207373271889401,0.525952441830734,0.15952380952381,0,0,0,0.428571428571429
"Merc 240D",0.595744680851064,0,0.188575704664505,0.0353356890459364,0.428571428571429,0.42879059064178,0.654761904761905,1,0,0.5,0.142857142857143
"Merc 230",0.527659574468085,0,0.173858817660264,0.151943462897526,0.534562211981567,0.418563027358732,1,1,0,0.5,0.142857142857143
"Merc 280",0.374468085106383,0.5,0.240708406086306,0.250883392226148,0.534562211981567,0.492712861160828,0.452380952380953,1,0,0.5,0.428571428571429
