"","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
"Mazda RX4",0.150884824647657,-0.104987808575239,-0.570619818667904,-0.535092839730217,0.567513685376339,-0.610399567481535,-0.777165145454422,-0.868027777333319,1.18990141802394,0.42355418561047,0.735203081008625
"Mazda RX4 Wag",0.150884824647657,-0.104987808575239,-0.570619818667904,-0.535092839730217,0.567513685376339,-0.349785269100972,-0.463780820374691,-0.868027777333319,1.18990141802394,0.42355418561047,0.735203081008625
"Datsun 710",0.449543446630647,-1.22485776671113,-0.990182090888924,-0.783040458821562,0.473999586859126,-0.917004624399846,0.42600681690526,1.11603571371427,1.18990141802394,0.42355418561047,-1.12215207101316
"Hornet 4 Drive",0.217253407310543,-0.104987808575239,0.22009369436402,-0.535092839730217,-0.966117530305962,-0.00229953792688741,0.89048715586272,1.11603571371427,-0.814143075490065,-0.931819208343033,-1.12215207101316
"Hornet Sportabout",-0.230734525663942,1.01488214956065,1.04308122833602,0.41294217444257,-0.835197792381863,0.227654254761845,-0.463780820374691,-0.868027777333319,-0.814143075490065,-0.931819208343033,-0.503033687005901
"Valiant",-0.330287399658272,-0.104987808575239,-0.046166978391628,-0.608018610051201,-1.56460776081613,0.248094591889733,1.32698675150949,1.11603571371427,-0.814143075490065,-0.931819208343033,-1.12215207101316
"Duster 360",-0.960788934955696,1.01488214956065,1.04308122833602,1.43390295893634,-0.722980874161207,0.360516446093113,-1.12412636250698,-0.868027777333319,-0.814143075490065,-0.931819208343033,0.735203081008625
"Merc 240D",0.715017777282194,-1.22485776671113,-0.677930938293665,-1.23518023481166,0.174754471604042,-0.0278499593367465,1.20387148094245,1.11603571371427,-0.814143075490065,0.42355418561047,-0.503033687005901
"Merc 230",0.449543446630647,-1.22485776671113,-0.725535119180281,-0.753870150693168,0.604919324783224,-0.0687306335925212,2.82675459296249,1.11603571371427,-0.814143075490065,0.42355418561047,-0.503033687005901
"Merc 280",-0.147773797335334,-0.104987808575239,-0.509299178881755,-0.34548583689566,0.604919324783224,0.227654254761845,0.252526208378981,1.11603571371427,-0.814143075490065,0.42355418561047,0.735203081008625
